CCCNCc1cccc(SC2CCCC(CC)C2)c1
CCN1CCN(CC1)C(=O)C12CCC(C)(C(=O)C1Br)C2(C)C
CCn1cc(nc1C=Cc1ccc(Br)cc1)-c1ccc(Cl)cc1
CC1CCC(CC1)OCC1(CS)CCCC1
Clc1ccc(cc1)-n1nnnc1SC(C(=O)NC1CC1)c1ccccc1
CC(NC(=O)ON1CCC(CC1)Nc1nc(NC2CCC(N)CC2)nc2n(cnc12)C1CCCC1)c1ccccc1
Clc1ccc2cc(nn2c1)C(=O)N1CCc2ncc(Br)cc2C1
S=c1[nH]nc(CN2CCN(Cc3ccc4OCOc4c3)CC2)n1-c1ccccc1
CC(Oc1ccc(Cl)c(C)c1)c1nc2ccccc2n1CC(=O)c1ccccc1
CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(c1)S(N)(=O)=O
CN1C(=O)NC2C3NC(=O)c4ccc(-c5ccc(N)cc5)n4C3CC12O
COC(=O)CSCc1cccs1
CC1CN(CCN1S(=O)(=O)c1ccc(s1)C(O)(C(N)=O)C(F)(F)F)c1ccc(cc1C(F)(F)F)-c1nc(C)no1
CC1CCC(N)(CC1)c1noc(n1)-c1cc(Br)ccc1Cl
CCCCCCCCCCCC(=O)NCC(=O)NN=Cc1ccco1
CC(C)CCCn1nnnc1CNCC(C)C
CC(O)c1nc2cc(N)ccc2n1C1CCC(C)CC1C
CCC(CC(O)=O)NC(=O)COc1ccc(Cl)cc1
Cc1ccc(CNC(=O)NCCOc2cccc(F)c2)cc1
Fc1ccc(C=Nn2c(n[nH]c2=S)-c2ccco2)cc1Br
O=S(=O)(CC(CN1CCCCC1)N1CCCCC1)c1ccccc1
CC(C)NS(=O)(=O)c1ccc(NC(=O)C(C)NC2CCCCCC2)cc1
CC1CCC(COc2nc(ccc2CN)C(F)(F)F)CC1
CCn1c(CN2CCCC2)nc2cc(NC(=O)c3ccc(cc3)C(C)(C)C)ccc12
CCOC(=O)C1CCN(CC(=O)Nc2ccc(SC(F)F)cc2)CC1
CNc1ccc(cn1)-c1noc(n1)C1CCCN1Cc1c[nH]c2ccccc12
Fc1ccccc1NC(=O)COC(=O)c1cc(F)c(F)cc1Cl
COc1cc(cc(OC)c1OC)-c1nnc(SC(C)c2ccccc2Cl)o1
CCCCCCN(CCC(=O)NCc1ccco1)C(=O)c1cc(C)oc1C
CCOC(=O)C1CCN(CC1)C(=O)c1cc(c(s1)N1CCOCC1)-c1ccncc1
NC(Cc1ccccc1)C(=O)Nc1cccc(c1)-c1cc(nc(NC(=O)c2ccco2)c1C#N)-c1ccc(F)cc1O
CCCCNC(=O)C(N(C(=O)CNC(=O)c1ccccc1)c1cccc(Cl)c1)c1ccc(cc1)[N+]([O-])=O
